part,clause,page,lineno,field,value
1,,15,41,E.Info,evidence.information
1,,20,39,E.Info.ACM-1.SecurityAsset],"Description of each security asset that is accessible by entities, including:"
1,,20,40,E.Info.ACM-1.SecurityAsset.Access],possible entities’ accesses to the security asset on the
1,,21,4,E.Info.ACM-1.SecurityAsset.PublicAccess],Description
1,,21,9,E.Info.ACM-1.SecurityAsset.Environment],Description of:
1,,21,14,E.Info.ACM,-
1,,21,19,E.Info.ACM-1.SecurityAsset.ACM],Description of each access control mechanism that
1,,21,22,E.Info.ACM-1.NetworkAsset],"Description of each network asset that is accessible by entities, including:"
1,,21,23,E.Info.ACM-1.NetworkAsset.Access],possible entities’ accesses to the network asset on the
1,,21,30,E.Info.ACM-1.NetworkAsset.PublicAccess],
1,,21,35,E.Info.ACM-1.NetworkAsset.Environment],Description of:
1,,21,40,E.Info.ACM,-
1,,21,45,E.Info.ACM-1.NetworkAsset.ACM],Description of each access control mechanism that
1,,22,3,E.Info.DT.ACM-1],Description of the selected path through the decision tree in Figure 1 for each security
1,,22,4,E.Info.ACM-1.SecurityAsset],and [E.Info.ACM-1.NetworkAsset]
1,,22,7,"E.Info.DT.ACM-1],",with the following properties:
1,,22,9,E.Info.ACM-1.SecurityAsset.PublicAccess],or
1,,22,10,E.Info.ACM-1.NetworkAsset.PublicAccess];,and
1,,22,12,E.Info.ACM-1.SecurityAsset.Environment],or
1,,22,13,E.Info.ACM-1.NetworkAsset.Environment];,and
1,,22,15,E.Info.ACM-1.SecurityAsset.Legal],or [E.Info.ACM-
1,,22,26,E.Info.ACM,-
1,,22,27,E.Info.ACM-1.NetworkAsset.ACM].,
1,,23,3,E.Info.ACM-1.SecurityAsset],and each network asset documented
1,,23,4,"E.Info.ACM-1.NetworkAsset],",check whether the path through the decision tree documented in
1,,23,5,E.Info.DT.ACM-1],ends with “NOT APPLICABLE” or “PASS”.
1,,23,6,"E.Info.DT.ACM-1],",examine its justification
1,,23,10,E.Info.DT.ACM-1],ends with
1,,23,12,E.Info.DT.ACM-1],ends with “FAIL”; and
1,,23,14,E.Info.DT.ACM-1].,
1,,23,16,E.Info.DT.ACM-1],ends with “FAIL”; or
1,,23,18,E.Info.DT.ACM-1].,
1,,23,23,E.Info.ACM-1.NetworkAsset],or [E.Info.ACM-
